epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.089,1.1108,1.44871,1.03715,0.7468,0.45007,0.48671,0.34148,1.12571,1.18012,1.04336,0.00333179,0.00333179,0.00333179
2,519.495,1.04334,0.94211,0.98917,0.78474,0.45388,0.52679,0.37336,1.09985,1.09575,1.03617,0.00659914,0.00659914,0.00659914
3,754.597,1.04842,0.87233,0.99123,0.76153,0.48885,0.5449,0.37125,1.18333,1.13697,1.06796,0.00980049,0.00980049,0.00980049
4,994.569,1.02701,0.80239,0.98806,0.71353,0.48916,0.5638,0.39089,1.16276,1.08559,1.06848,0.009703,0.009703,0.009703
5,1227.6,0.97439,0.72633,0.97154,0.53064,0.5419,0.53595,0.37177,1.14545,1.06585,1.06234,0.009604,0.009604,0.009604
6,1460.29,0.94053,0.67926,0.96345,0.7033,0.51895,0.57075,0.40075,1.14392,1.17822,1.07144,0.009505,0.009505,0.009505
7,1693.71,0.91651,0.64735,0.95278,0.56149,0.5147,0.54555,0.37869,1.14715,1.03556,1.05818,0.009406,0.009406,0.009406
8,1926.98,0.89641,0.62459,0.9449,0.57296,0.50655,0.54315,0.3802,1.08805,1.05554,1.04507,0.009307,0.009307,0.009307
9,2160.02,0.88067,0.60402,0.94082,0.53791,0.60676,0.58237,0.40676,1.11715,0.99274,1.04977,0.009208,0.009208,0.009208
10,2400.88,0.8687,0.58848,0.93627,0.63513,0.50795,0.55803,0.40025,1.08892,1.02492,1.04482,0.009109,0.009109,0.009109
11,2648.41,0.86585,0.5751,0.9345,0.62495,0.57361,0.58567,0.41368,1.10603,1.02898,1.0487,0.00901,0.00901,0.00901
12,2899.35,0.84948,0.56427,0.92779,0.55573,0.5945,0.59222,0.41815,1.12555,1.09672,1.06023,0.008911,0.008911,0.008911
13,3149.79,0.8456,0.55433,0.92693,0.67608,0.5197,0.54752,0.39315,1.09833,1.0389,1.04279,0.008812,0.008812,0.008812
14,3402.62,0.838,0.54834,0.92546,0.6153,0.53616,0.56932,0.40772,1.08176,0.97679,1.03502,0.008713,0.008713,0.008713
