epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10698,0.73881,0.43665,0.89033,0.68448,0.52393,0.5711,0.42976,1.05448,1.07631,1.0259,0.005842,0.005842,0.005842
44,10946,0.73832,0.43158,0.88759,0.61866,0.56382,0.5851,0.44107,1.06953,1.05264,1.03209,0.005743,0.005743,0.005743
45,11196.4,0.73709,0.43116,0.88638,0.62354,0.53441,0.56288,0.42137,1.08018,1.05202,1.03517,0.005644,0.005644,0.005644
46,11443,0.73213,0.42741,0.88455,0.64548,0.53425,0.56352,0.42539,1.07194,1.08496,1.03434,0.005545,0.005545,0.005545
47,11691.3,0.73131,0.4254,0.88463,0.62763,0.52707,0.55759,0.42115,1.06325,1.12691,1.03198,0.005446,0.005446,0.005446
48,11940.3,0.73066,0.42368,0.88508,0.67461,0.52106,0.57718,0.43727,1.06784,1.14242,1.0329,0.005347,0.005347,0.005347
49,12188.3,0.72899,0.42402,0.88482,0.64543,0.5228,0.57118,0.43365,1.05228,1.11468,1.02316,0.005248,0.005248,0.005248
50,12437.1,0.7253,0.41873,0.88344,0.61803,0.55386,0.58464,0.44172,1.0628,1.05335,1.02405,0.005149,0.005149,0.005149
51,12685.5,0.7262,0.41776,0.88322,0.60676,0.53621,0.57352,0.43181,1.05607,1.09027,1.02144,0.00505,0.00505,0.00505
52,12934.7,0.72366,0.4146,0.8821,0.60996,0.54129,0.56457,0.42596,1.05446,1.11991,1.02612,0.004951,0.004951,0.004951
53,13185.1,0.71991,0.41301,0.87999,0.64683,0.55822,0.58772,0.44506,1.06979,1.14777,1.03526,0.004852,0.004852,0.004852
54,13435.4,0.71817,0.41082,0.88045,0.64801,0.54752,0.57189,0.43475,1.07605,1.10918,1.03791,0.004753,0.004753,0.004753
55,13686.2,0.71841,0.409,0.88191,0.6302,0.55001,0.57043,0.43238,1.06485,1.12108,1.02858,0.004654,0.004654,0.004654
56,13937.9,0.71159,0.4059,0.87763,0.63277,0.53301,0.57955,0.44214,1.06759,1.12092,1.02996,0.004555,0.004555,0.004555
57,14188.3,0.71353,0.40535,0.87993,0.57687,0.56752,0.57446,0.43645,1.06846,1.12626,1.03244,0.004456,0.004456,0.004456
58,14438.6,0.71245,0.40369,0.87806,0.61393,0.5608,0.57833,0.43999,1.06466,1.10673,1.0287,0.004357,0.004357,0.004357
59,14687.9,0.71071,0.40425,0.87912,0.65995,0.55508,0.58894,0.44766,1.06461,1.06397,1.02655,0.004258,0.004258,0.004258
60,14937.4,0.70653,0.39856,0.87664,0.66785,0.55991,0.59721,0.45368,1.07003,1.0845,1.02911,0.004159,0.004159,0.004159
61,15187.5,0.7088,0.3985,0.87632,0.61749,0.57737,0.59184,0.45132,1.07273,1.1039,1.0296,0.00406,0.00406,0.00406
62,15438.6,0.70562,0.39621,0.87815,0.597,0.56906,0.58454,0.44657,1.07225,1.10962,1.02915,0.003961,0.003961,0.003961
63,15691.9,0.7046,0.39487,0.87584,0.63177,0.5718,0.59043,0.45402,1.06962,1.16112,1.03037,0.003862,0.003862,0.003862
64,15947.3,0.69999,0.39149,0.87541,0.60372,0.57114,0.59113,0.45255,1.07367,1.12854,1.03314,0.003763,0.003763,0.003763
65,16195.6,0.70032,0.39083,0.8761,0.69352,0.55016,0.59742,0.45611,1.07232,1.13967,1.03219,0.003664,0.003664,0.003664
66,16443.1,0.69951,0.38866,0.87331,0.73727,0.53623,0.60406,0.4619,1.06988,1.11819,1.03124,0.003565,0.003565,0.003565
67,16691.2,0.69638,0.3885,0.87449,0.64586,0.58193,0.60244,0.46052,1.0632,1.11936,1.02781,0.003466,0.003466,0.003466
